CSD_code,HOMO_Energy,LUMO_Energy,Polarizability
WIXKOE,-0.16204,-0.03096,598.457913
DUCVIG,-0.24358,-0.11865,277.750698
KINJOG,-0.23646,-0.09632,393.442545
GEKYEC,-0.26765,-0.129,266.725736
PIBNEV,-0.15164,-0.04523,342.341585
ILOJOK,-0.17508,-0.08261,726.729174
UKOQAN,-0.1754,-0.08239,432.393719
ATECUZ,-0.15907,0.01661,380.18981
UROBOU,-0.15117,-0.0708,522.566274
OBIQAS,-0.30051,-0.20643,463.072163
ZOBPEN,-0.15361,-0.05012,630.762664
KETHAV,-0.18356,-0.02714,303.843529
RUXTAH,-0.17208,-0.05092,681.659139
DARXOL,-0.16204,-0.06494,434.24012
ZAVPIY,-0.17218,-0.04552,965.159741
KABCEW,-0.19087,-0.07645,637.350049
WOLRIA,-0.17411,-0.04212,381.808553
GACJAW,-0.18405,-0.06106,511.174137
YIXHOE,-0.18742,-0.05928,570.504772
VAQFAX,-0.2694,-0.15906,638.486122
LURLUG,-0.19225,-0.0463,355.724755
EGEKIL,-0.16673,-0.04915,540.784144
TEQTAL,-0.19766,-0.03639,418.165864
LURKIT,-0.19536,-0.04318,281.770044
RAKKAS,-0.15272,-0.03578,338.668258
PIXGUZ,-0.17998,-0.06324,525.683935
BUQHIF,-0.19645,-0.07285,558.799426
XIQJEM,-0.20453,-0.0739,470.745161
UDAZUW,-0.15988,-0.03648,480.732828
DUDTIH,-0.18429,-0.11464,451.568946
UGEBEO,-0.1893,-0.07221,571.489065
TATTIS,-0.35798,-0.09721,319.445027
HUVRIA,-0.18446,-0.07486,463.242364
NEVXAN,-0.17929,-0.0152,373.635702
QEJFOC,-0.15017,-0.04807,546.259256
BABNOI,-0.15937,-0.11962,567.004661
PUJCAY,-0.32656,-0.15666,251.765532
PIHCEQ,-0.19937,-0.02056,548.653777
NAPKEW,-0.16418,-0.0668,429.422193
MUBQEH,-0.18167,-0.03802,365.005645
DIFTIY,-0.17854,-0.06429,651.025358
FEKQEU,-0.21036,-0.12649,545.41398
ZIGLAF,-0.16618,-0.03291,464.698333
MAHYEB,-0.18366,-0.05137,456.360012
ACUGOV,-0.24278,-0.12029,356.135331
MIDNAO,-0.17847,-0.04986,295.377364
IJAZEZ,-0.20394,-0.06864,382.351839
CAVYOO,-0.19172,-0.02651,375.786381
GOHPOJ,-0.20518,-0.11746,411.308536
NOLQIP,-0.16282,-0.04653,670.989797
ODISOM,-0.18279,-0.05791,533.158467
TUQMEZ,-0.15974,-0.07537,621.95051
TUJYIG,-0.16703,-0.02811,386.660152
LOFMAV,-0.15902,-0.04724,417.940257
HIZLAF,-0.19726,-0.01833,439.331634
IMEVEB,-0.10043,-0.02253,197.858251
AGUFIR,-0.17527,-0.05455,990.140376
YEQZUQ,-0.19596,-0.04462,443.504459
HINFOA,-0.1594,-0.00761,481.920993
DIFSUJ,-0.17703,-0.06067,675.439338
LAPTEB,-0.18176,-0.04887,737.19222
GUXFAH,-0.19273,-0.04744,581.360613
RIKWUF,-0.15132,-0.06617,723.681587
REKDET,-0.08392,0.03087,812.251393
ZUNLOJ,-0.30625,-0.0946,368.947738
DEDBOE,-0.19169,-0.059,590.031923
NOGBIW,-0.22476,-0.04707,394.030732
MANVON,-0.16337,-0.01506,368.006093
GABDIZ,-0.21871,-0.12226,511.695848
IFEGUX,-0.1558,-0.04992,650.666104
ORODAC,-0.28538,-0.16945,895.326388
DOPSEH,-0.19237,-0.05761,372.194462
ZIPKIU,-0.18303,-0.00194,407.057757
TIWJIT,-0.17708,-0.04682,484.976081
SILXUI,-0.15673,-0.0559,451.036382
EJUBUH,-0.17827,-0.04872,577.884657
LILGIX,-0.16979,-0.03784,391.171309
WUPBUE,-0.16657,-0.02441,385.302443
KIRSUZ,-0.17681,-0.03262,470.564091
GEPJOD,-0.16075,-0.04519,469.00959
PITHUY,-0.19692,-0.07215,455.57688
MIRYIX,-0.20048,-0.01327,314.191154
YUKLAS,-0.26188,-0.14153,398.343986
TASREM,-0.12954,-0.03112,519.47902
UHAKAQ,-0.16515,-0.01037,616.907681
IGEDAZ,-0.16826,-0.04426,363.319664
UGEKEW,-0.17435,-0.01507,493.496887
NOVKEO,-0.23647,-0.05012,280.829965
LECJUZ,-0.19383,-0.05745,734.567919
RIWQOE,-0.20361,-0.04318,775.214971
NOJKAB,-0.11956,-0.0161,528.286978
BUJWIO,-0.16054,-0.06347,545.033981
LUSNIX,-0.21398,-0.05595,249.23424
ROJZAS,-0.1715,-0.04041,425.914241
ZOCZAV,-0.28757,-0.17995,669.359885
SEZZOO,-0.18332,-0.03268,364.762854
LITRUD,-0.16001,-0.10502,523.603596
REHBAJ,-0.17841,-0.0349,747.034703
YEYBIO,-0.1571,-0.06836,637.081237
ZODNOX,-0.17447,-0.03854,322.500161
VEDSED,-0.20278,-0.02642,384.010854
XUMHUJ,-0.1677,-0.04977,584.89166
YILRAP,-0.16731,-0.07159,430.891322
UZORAE,-0.18045,-0.01899,783.055597
LORSOC,-0.15818,-0.05314,495.659163
BEVWAC,-0.17045,-0.02942,528.158759
BAKPOT,-0.18561,-0.06108,344.258255
ETAJIS,-0.09348,0.0348,408.344005
CUJPUU,-0.21047,-0.0433,557.914683
RIDQUQ,-0.21127,-0.06367,637.76674
FOFCOS,-0.27872,-0.27063,660.38137
VASJOR,-0.16525,-0.026,461.687763
BUNYAL,-0.19209,-0.07252,434.280874
RIHXOY,-0.16569,-0.04076,471.249478
ROJMAF,-0.16691,-0.02491,426.820293
YEPKIO,-0.18342,-0.04836,616.629811
RIKXIU,-0.17971,-0.05712,733.869161
YIJNAH,-0.15665,-0.07394,951.38052
UCIBIT,-0.20762,-0.09793,532.381807
ASABUS,-0.15809,-0.0298,548.9184
SAHQUQ,-0.2153,-0.09949,532.117386
EXOTAM,-0.16057,0.00411,395.440946
KADCOH,-0.16622,-0.05226,490.085062
AMAWIU,-0.16016,-0.06196,547.084025
PIYNIV,-0.17325,-0.00314,525.132592
PAKVOO,-0.16019,-0.07015,552.809401
DAFHAW,-0.19766,-0.0901,396.349581
NAXYOD,-0.18781,-0.05708,670.382932
BUCFOV,-0.1593,-0.04684,490.173702
MIWGOR,-0.16001,-0.02313,598.980496
QOJSOX,-0.17426,-0.04647,326.098638
PUWWIN,-0.16148,-0.01644,376.237959
LIPGID,-0.13392,-0.04023,418.211168
HELMIU,-0.19008,-0.11227,468.152948
NEBFUX,-0.20285,-0.09318,437.253817
MOMSAK,-0.19284,-0.07975,628.227707
XUKVOQ,-0.19401,-0.10706,406.311767
OHOZAN,-0.19914,-0.06742,625.416155
RANDOZ,-0.2051,-0.09785,565.297633
PAZQEP,-0.28601,-0.12891,622.611938
KOCCAJ,-0.19149,-0.07401,456.132325
AFOZIE,-0.16039,-0.00986,356.940039
RIKWEP,-0.0927,0.01519,385.44752
RAYMIQ,-0.15233,-0.06162,718.757365
OHUYOG,-0.19281,-0.05096,370.892726
TUBZAT,-0.22807,-0.08563,685.041664
BAFQEH,-0.15718,-0.02948,534.111629
REVMAG,-0.18023,-0.0094,429.127153
IMOVEN,-0.18611,-0.06275,398.994585
SOXTIL,-0.19159,-0.10964,586.393111
GOXYAT,-0.19661,-0.03434,278.89256
NONHUW,-0.17331,-0.03252,601.104319
TUVXUD,-0.3437,-0.16367,226.213881
UDOFIC,-0.1548,-0.06651,341.951264
FEGCOL,-0.18002,-0.08961,592.942453
JOCDUD,-0.18208,-0.0643,519.768652
DIFTEU,-0.16543,-0.09498,660.064339
UPABUK,-0.17168,-0.02378,462.8108
XUBGOQ,-0.3018,-0.13929,671.437018
WIXKIY,-0.15319,-0.01019,431.094987
WEWZED,-0.1738,-0.00797,272.34872
BEYHEU,-0.21259,-0.0991,465.417886
DICXAQ,-0.21216,-0.05225,381.3003
BADBAJ,-0.17518,-0.16025,257.473214
APUDAQ,-0.15678,-0.02238,513.194854
VAQDOJ,-0.17919,-0.05106,659.187801
RABPUH,-0.17269,-0.03727,360.030109
HIPQAA,-0.17984,-0.08014,549.178181
YONZAD,-0.19469,-0.04479,538.170377
ZOCYIC,-0.19198,-0.05228,664.804635
WIMBOL,-0.18553,-0.08623,628.370455
VERLOW,-0.17059,-0.0354,552.686877
DOWSUF,-0.18928,-0.08328,658.927881
PIFRUS,-0.23814,-0.04116,269.136562
HEXDIZ,-0.16678,-0.05579,551.715793
YEVLIV,-0.19217,-0.09075,382.452748
VIBFIW,-0.17957,-0.02005,556.766036
PAKVEE,-0.17821,-0.07379,436.902199
KOYDEJ,-0.16217,-0.0681,409.742993
JASWOQ,-0.22,-0.05266,327.569756
EXOTEQ,-0.13777,-0.00581,377.345407
SOJCAX,-0.19111,-0.0268,742.259431
XIPMUG,-0.18901,-0.05209,576.683491
CEPNIW,-0.18768,-0.04931,624.37818
CORNIG,-0.23951,-0.02662,166.230547
NAPJUL,-0.17115,-0.05791,398.763923
COKKEV,-0.17601,-0.08177,607.990334
URUVIO,-0.21965,-0.06764,462.542589
FOLZEM,-0.1855,-0.04865,518.345747
PUPKUI,-0.1971,-0.05271,673.049352
LUGQUA,-0.18703,-0.08992,486.149781
PUMKEP,-0.17773,-0.02812,272.063802
HAFZAR,-0.16967,-0.02324,415.768128
YILQUI,-0.18991,-0.08093,401.440206
TIGGAR,-0.19056,-0.05452,792.841923
LORBUR,-0.33574,-0.18681,451.187865
BERHEO,-0.20626,-0.07185,460.087205
HUDGEU,-0.18953,-0.05548,608.048756
REVLUZ,-0.16996,-0.00942,548.739922
QEJFIW,-0.1541,-0.05594,593.478117
QIMHEB,-0.15018,-0.05035,480.345459
VEVTOH,-0.18026,-0.05027,631.863123
BEYREE,-0.22247,-0.10868,238.473758
IPIGAQ,-0.19128,-0.17609,511.797708
YEGTIN,-0.06921,-0.03042,800.528979
IJAPIT,-0.18264,-0.04643,279.021914
LUSMET,-0.16452,-0.04258,580.53014
HAQTIC,-0.17174,-0.03365,408.541135
YIBQUW,-0.24229,-0.13453,769.311714
MITCIB,-0.22937,-0.04446,415.13016
KEHWUS,-0.18223,-0.05884,667.393159
EWALIY,-0.15964,-0.06453,567.009359
